tt0029403	short	The Pigskin Palooka	The Pigskin Palooka	0	1937	\N	11	Comedy,Family,Short
tt0029454	movie	Quality Street	Quality Street	0	1937	\N	83	Comedy,Drama,Romance
tt0029488	movie	Riding on Air	Riding on Air	0	1937	\N	70	Action,Adventure,Comedy
tt0029498	movie	Rootin' Tootin' Rhythm	Rootin' Tootin' Rhythm	0	1937	\N	65	Action,Adventure,Comedy
tt0029573	movie	Sinner Take All	Sinner Take All	0	1936	\N	74	Mystery
tt0029605	movie	Stand-In	Stand-In	0	1937	\N	91	Comedy,Romance
tt0029748	short	The Wayward Pups	The Wayward Pups	0	1937	\N	8	Animation,Comedy,Family
tt0029790	movie	The Woman I Love	The Woman I Love	0	1937	\N	85	Drama
tt0029833	short	A-Lad-In Bagdad	A-Lad-In Bagdad	0	1938	\N	8	Animation,Comedy,Family
tt0029850	movie	Alexander Nevsky	Aleksandr Nevskiy	0	1938	\N	112	Action,Biography,Drama
tt0029972	movie	Carrefour	Carrefour	0	1938	\N	84	Drama
tt0030011	movie	Conquest of Peter the Great	Pyotr pervyy II	0	1938	\N	96	Biography,Drama
tt0030021	movie	The Man with 100 Faces	Crackerjack	0	1938	\N	76	Comedy,Crime,Romance
tt0030026	movie	Crime School	Crime School	0	1938	\N	85	Crime,Drama
tt0030123	short	Feed 'em and Weep	Feed 'em and Weep	0	1938	\N	10	Comedy,Family,Short
tt0030169	movie	Gangs of New York	Gangs of New York	0	1938	\N	67	Crime,Drama
tt0030202	movie	The Great Waltz	The Great Waltz	0	1938	\N	104	Biography,Drama,Music
tt0030213	movie	Happy Landing	Happy Landing	0	1938	\N	102	Comedy,Musical,Sport
tt0030270	movie	In Old Mexico	In Old Mexico	0	1938	\N	67	Action,Adventure,Western
tt0030424	movie	La Marseillaise	La Marseillaise	0	1938	\N	135	Drama,History,Music
tt0030449	movie	Midnight Intruder	Midnight Intruder	0	1938	\N	68	Adventure,Comedy,Crime
tt0030621	movie	Pride of the West	Pride of the West	0	1938	\N	56	Western
tt0030651	movie	Radio City Revels	Radio City Revels	0	1938	\N	90	Comedy,Musical,Romance
tt0030731	movie	Sergeant Murphy	Sergeant Murphy	0	1938	\N	57	Action,Adventure,Comedy
tt0030765	movie	Smashing the Rackets	Smashing the Rackets	0	1938	\N	69	Crime,Drama
tt0030766	short	The Sneezing Weasel	The Sneezing Weasel	0	1938	\N	7	Animation,Comedy,Family
tt0030900	movie	Tulitikkuja lainaamassa	Tulitikkuja lainaamassa	0	1938	\N	77	Comedy
tt0030989	movie	A Yank at Oxford	A Yank at Oxford	0	1938	\N	102	Drama,Romance,Sport
